playerid,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,WHIP,FIP,xFIP,WAR
10190,Tyler Skaggs,Angels,8,10,24,24,125.1,9.26,2.87,1.01,0.328,73.5 %,44.2 %,11.5 %,4.02,1.33,3.63,3.79,2.3
11423,Jose Quintana,Cubs,13,11,32,32,174.1,8.16,3.51,1.29,0.282,76.8 %,43.2 %,14.7 %,4.03,1.32,4.43,4.18,1.6
12970,Joe Musgrove,Pirates,6,9,19,19,115.1,7.8,1.79,0.94,0.294,69.2 %,45.5 %,10.2 %,4.06,1.18,3.59,3.92,2.2
19320,Joey Lucchesi,Padres,8,9,26,26,130,10.04,2.98,1.59,0.306,78.0 %,44.7 %,20.4 %,4.08,1.29,4.31,3.45,1
9460,Dan Straily,Marlins,5,6,23,23,122.1,7.28,3.83,1.47,0.256,75.4 %,32.1 %,13.5 %,4.12,1.3,5.11,4.99,0.1
17085,Pablo Lopez,Marlins,2,4,10,10,58.2,7.06,2.76,1.23,0.281,74.9 %,50.0 %,15.7 %,4.14,1.26,4.49,4.15,0.4
15423,Andrew Heaney,Angels,9,10,30,30,180,9,2.25,1.35,0.294,71.4 %,41.2 %,15.2 %,4.15,1.2,3.99,3.68,2.7
14272,Brian Johnson,Red Sox,4,3,13,13,60.2,7.86,3.41,1.78,0.296,80.3 %,36.0 %,14.1 %,4.15,1.45,5.17,4.91,0.1
16137,Carlos Rodon,White Sox,6,8,20,20,120.2,6.71,4.1,1.12,0.242,72.0 %,41.5 %,9.9 %,4.18,1.26,4.95,5.4,0.8
10021,Mike Minor,Rangers,12,8,28,28,157,7.57,2.18,1.43,0.259,72.5 %,34.4 %,12.1 %,4.18,1.12,4.43,4.53,2.5
14875,Caleb Smith,Marlins,5,6,16,16,77.1,10.24,3.84,1.16,0.276,74.1 %,28.4 %,10.0 %,4.19,1.24,3.96,4.42,1.2
1994,Ivan Nova,Pirates,9,9,29,29,161,6.37,1.96,1.45,0.288,73.7 %,45.6 %,14.8 %,4.19,1.28,4.57,4.28,1.2
14374,Tyler Glasnow,Rays,1,5,11,11,55.2,10.35,3.07,1.62,0.248,74.0 %,43.9 %,20.8 %,4.2,1.1,4.38,3.47,0.6
7448,Gio Gonzalez,- - -,10,11,32,32,171,7.79,4.21,0.89,0.301,73.3 %,45.3 %,10.4 %,4.21,1.44,4.16,4.44,2.1
8753,Tanner Roark,Nationals,9,14,30,30,180,7.3,2.5,1.15,0.295,73.0 %,40.8 %,11.3 %,4.25,1.27,4.2,4.41,2.2
